일자,Combination,조합 빈도수,빈도수 A,빈도수 B,Support A,Support B,confidence A,confidence B,Lift,targetValue
20191005,추모위원회_탈북민,1,4,5,-4.038655656361512,-3.8155121050473024,-1.3862943611198906,-1.6094379124341003,2.4292177439274116,2.4292177439274116
20191005,추모위원회_폭력시위,1,4,4,-4.038655656361512,-4.038655656361512,-1.3862943611198906,-1.3862943611198906,2.6523612952416213,2.6523612952416213
20191005,추모위원회_폭력시위자들,2,4,3,-4.038655656361512,-4.326337728813293,-0.6931471805599453,-0.4054651081081645,3.6331905482533475,7.266381096506695
20191005,춘천_강릉,3,5,3,-3.8155121050473024,-4.326337728813293,-0.5108256237659905,0.0,3.8155121050473024,11.446536315141907
20191005,춘천_강원,1,5,4,-3.8155121050473024,-4.038655656361512,-1.6094379124341003,-1.3862943611198906,2.4292177439274116,2.4292177439274116
20191005,춘천_경북,1,5,6,-3.8155121050473024,-3.633190548253348,-1.6094379124341003,-1.791759469228055,2.023752635819248,2.023752635819248
20191005,춘천_광주,3,5,8,-3.8155121050473024,-3.345508475801567,-0.5108256237659905,-0.980829253011726,2.8346828520355767,8.50404855610673
20191005,춘천_국민일보,2,5,3,-3.8155121050473024,-4.326337728813293,-0.916290731874155,-0.4054651081081645,3.410046996939138,6.820093993878276
20191005,춘천_기상청,2,5,10,-3.8155121050473024,-3.122364924487357,-0.916290731874155,-1.6094379124341005,2.206074192613202,4.412148385226404
20191005,춘천_날씨,1,5,3,-3.8155121050473024,-4.326337728813293,-1.6094379124341003,-1.0986122886681098,2.7168998163791924,2.7168998163791924
20191005,춘천_대구,1,5,9,-3.8155121050473024,-3.2277254401451834,-1.6094379124341003,-2.1972245773362196,1.618287527711083,1.618287527711083
20191005,춘천_동해,1,5,4,-3.8155121050473024,-4.038655656361512,-1.6094379124341003,-1.3862943611198906,2.4292177439274116,2.4292177439274116
20191005,춘천_동해안,1,5,4,-3.8155121050473024,-4.038655656361512,-1.6094379124341003,-1.3862943611198906,2.4292177439274116,2.4292177439274116
20191005,춘천_부산,2,5,19,-3.8155121050473024,-2.4805110383149627,-0.916290731874155,-2.251291798606495,1.5642203064408076,3.128440612881615
20191005,춘천_부장판사,1,5,6,-3.8155121050473024,-3.633190548253348,-1.6094379124341003,-1.791759469228055,2.023752635819248,2.023752635819248
20191005,춘천_서해,1,5,4,-3.8155121050473024,-4.038655656361512,-1.6094379124341003,-1.3862943611198906,2.4292177439274116,2.4292177439274116
20191005,춘천_수원,1,5,4,-3.8155121050473024,-4.038655656361512,-1.6094379124341003,-1.3862943611198906,2.4292177439274116,2.4292177439274116
20191005,춘천_인천,1,5,6,-3.8155121050473024,-3.633190548253348,-1.6094379124341003,-1.791759469228055,2.023752635819248,2.023752635819248
20191005,춘천_전주,2,5,3,-3.8155121050473024,-4.326337728813293,-0.916290731874155,-0.4054651081081645,3.410046996939138,6.820093993878276
20191005,춘천_청주,2,5,10,-3.8155121050473024,-3.122364924487357,-0.916290731874155,-1.6094379124341005,2.206074192613202,4.412148385226404
20191005,출석_검사,1,4,4,-4.038655656361512,-4.038655656361512,-1.3862943611198906,-1.3862943611198906,2.6523612952416213,2.6523612952416213
20191005,출석_입시,1,4,3,-4.038655656361512,-4.326337728813293,-1.3862943611198906,-1.0986122886681098,2.940043367693402,2.940043367693402
20191005,출석_장관,1,4,10,-4.038655656361512,-3.122364924487357,-1.3862943611198906,-2.302585092994046,1.7360705633674665,1.7360705633674665
20191005,출석_조사,1,4,11,-4.038655656361512,-3.0270547446830323,-1.3862943611198906,-2.3978952727983707,1.6407603835631417,1.6407603835631417
20191005,출연_방송,1,3,5,-4.326337728813293,-3.8155121050473024,-1.0986122886681098,-1.6094379124341003,2.7168998163791924,2.7168998163791924
20191005,출연_사진,1,3,6,-4.326337728813293,-3.633190548253348,-1.0986122886681098,-1.791759469228055,2.5345782595852384,2.5345782595852384
20191005,출연_생각,1,3,5,-4.326337728813293,-3.8155121050473024,-1.0986122886681098,-1.6094379124341003,2.7168998163791924,2.7168998163791924
20191005,출입구_개혁,1,6,9,-3.633190548253348,-3.2277254401451834,-1.791759469228055,-2.1972245773362196,1.4359659709171284,1.4359659709171284
20191005,출입구_건강,2,6,3,-3.633190548253348,-4.326337728813293,-1.0986122886681096,-0.4054651081081645,3.2277254401451834,6.455450880290367
20191005,출입구_건강상,1,6,8,-3.633190548253348,-3.345508475801567,-1.791759469228055,-2.0794415416798357,1.5537490065735122,1.5537490065735122
20191005,출입구_검사,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,출입구_검찰,4,6,20,-3.633190548253348,-2.429217743927412,-0.4054651081081644,-1.6094379124341003,2.023752635819248,8.095010543276992
20191005,출입구_공수처,1,6,5,-3.633190548253348,-3.8155121050473024,-1.791759469228055,-1.6094379124341003,2.0237526358192475,2.0237526358192475
20191005,출입구_공직자,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,출입구_교수,3,6,9,-3.633190548253348,-3.2277254401451834,-0.6931471805599452,-1.0986122886681098,2.5345782595852384,7.603734778755715
20191005,출입구_귀가,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,출입구_동양대,2,6,23,-3.633190548253348,-2.2894558015522533,-1.0986122886681096,-2.4423470353692043,1.1908435128841437,2.3816870257682874
20191005,출입구_문재인,1,6,23,-3.633190548253348,-2.2894558015522533,-1.791759469228055,-3.1354942159291497,0.4976963323241983,0.4976963323241983
20191005,출입구_문화제,1,6,7,-3.633190548253348,-3.4790398684260895,-1.791759469228055,-1.9459101490553132,1.6872803991980345,1.6872803991980345
20191005,출입구_법무부,1,6,37,-3.633190548253348,-1.8140321048371786,-1.791759469228055,-3.6109179126442243,0.022272635609123625,0.022272635609123625
20191005,출입구_법무부장관,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,출입구_변호인단,3,6,11,-3.633190548253348,-3.0270547446830323,-0.6931471805599452,-1.2992829841302609,2.333907564123087,7.001722692369261
20191005,출입구_부인,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,출입구_비공개,1,6,18,-3.633190548253348,-2.5345782595852384,-1.791759469228055,-2.8903717578961645,0.7428187903571835,0.7428187903571835
20191005,출입구_소환,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,출입구_소환조사,1,6,3,-3.633190548253348,-4.326337728813293,-1.791759469228055,-1.0986122886681098,2.534578259585238,2.534578259585238
20191005,출입구_수차례,1,6,10,-3.633190548253348,-3.122364924487357,-1.791759469228055,-2.302585092994046,1.330605455259302,1.330605455259302
20191005,출입구_이틀,2,6,3,-3.633190548253348,-4.326337728813293,-1.0986122886681096,-0.4054651081081645,3.2277254401451834,6.455450880290367
20191005,출입구_입시,2,6,3,-3.633190548253348,-4.326337728813293,-1.0986122886681096,-0.4054651081081645,3.2277254401451834,6.455450880290367
20191005,출입구_자녀들,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,출입구_장관,2,6,10,-3.633190548253348,-3.122364924487357,-1.0986122886681096,-1.6094379124341005,2.0237526358192475,4.047505271638495
20191005,출입구_조국,3,6,18,-3.633190548253348,-2.5345782595852384,-0.6931471805599452,-1.7917594692280547,1.8414310790252932,5.52429323707588
20191005,출입구_조사,3,6,11,-3.633190548253348,-3.0270547446830323,-0.6931471805599452,-1.2992829841302609,2.333907564123087,7.001722692369261
20191005,출입구_주차장,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,출입구_집회,1,6,15,-3.633190548253348,-2.716899816379193,-1.791759469228055,-2.70805020110221,0.9251403471511379,0.9251403471511379
20191005,출입구_참가자들,1,6,23,-3.633190548253348,-2.2894558015522533,-1.791759469228055,-3.1354942159291497,0.4976963323241983,0.4976963323241983
20191005,출입구_출석,2,6,4,-3.633190548253348,-4.038655656361512,-1.0986122886681096,-0.6931471805599453,2.9400433676934026,5.880086735386805
20191005,출입구_취재진,1,6,4,-3.633190548253348,-4.038655656361512,-1.791759469228055,-1.3862943611198906,2.246896187133457,2.246896187133457
20191005,출입문_그동안,1,3,5,-4.326337728813293,-3.8155121050473024,-1.0986122886681098,-1.6094379124341003,2.7168998163791924,2.7168998163791924
20191005,출입문_동양대,1,3,23,-4.326337728813293,-2.2894558015522533,-1.0986122886681098,-3.1354942159291497,1.1908435128841435,1.1908435128841435
20191005,출입문_법무장관,1,3,5,-4.326337728813293,-3.8155121050473024,-1.0986122886681098,-1.6094379124341003,2.7168998163791924,2.7168998163791924
20191005,출입문_비공개,1,3,18,-4.326337728813293,-2.5345782595852384,-1.0986122886681098,-2.8903717578961645,1.4359659709171286,1.4359659709171286
20191005,출입문_사모펀드,1,3,15,-4.326337728813293,-2.716899816379193,-1.0986122886681098,-2.70805020110221,1.618287527711083,1.618287527711083
20191005,출입문_시간date,1,3,6,-4.326337728813293,-3.633190548253348,-1.0986122886681098,-1.791759469228055,2.5345782595852384,2.5345782595852384
20191005,출입문_정경심,1,3,32,-4.326337728813293,-1.9592141146816764,-1.0986122886681098,-3.4657359027997265,0.8606018260135666,0.8606018260135666
20191005,출입문_지하주차장,1,3,7,-4.326337728813293,-3.4790398684260895,-1.0986122886681098,-1.9459101490553132,2.3804275797579795,2.3804275797579795
20191005,출입문_충분히,1,3,3,-4.326337728813293,-4.326337728813293,-1.0986122886681098,-1.0986122886681098,3.227725440145183,3.227725440145183
